infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeOverBarkM3Ha,volumeUnderBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"plot-40-36-Species23","ifn2","40-36","Segovia","San Cristóbal de Cuéllar","Species23","Pinus pinea",,141.31,11.4548589,56.402757,42.7422,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-36-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-36","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-36-Species26","ifn2","40-36","Segovia","San Cristóbal de Cuéllar","Species26","Pinus pinaster",,5.09,1.0650323,5.8020067,4.4280436,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-36-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-36","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-37-Species23","ifn2","40-37","Segovia","Cuéllar","Species23","Pinus pinea",,5.09,0.7378865,3.1212114,2.3265598,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-37-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-37","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-37-Species26","ifn2","40-37","Segovia","Cuéllar","Species26","Pinus pinaster",,505.72,26.5421371,140.8384623,93.162994,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-37-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-37","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-40-Species43","ifn2","40-40","Segovia","Cuéllar","Species43","Quercus pyrenaica / Quercus pubescens Willd.",,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-40-Species43","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-40","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species43"
"plot-40-40-Species23","ifn2","40-40","Segovia","Cuéllar","Species23","Pinus pinea",,14.14,1.2618671,4.8251597,3.4729526,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-40-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-40","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-40-Species26","ifn2","40-40","Segovia","Cuéllar","Species26","Pinus pinaster",,380.24,19.5271545,96.9737035,65.8308281,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-40-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-40","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-47-Species23","ifn2","40-47","Segovia","Cuéllar","Species23","Pinus pinea",,429.48,16.796429,63.3549659,42.9550146,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-47-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-47","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-47-Species26","ifn2","40-47","Segovia","Cuéllar","Species26","Pinus pinaster",,89.96,8.3432659,44.6346539,28.6888302,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-47-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-47","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-73-Species23","ifn2","40-73","Segovia","Mata de Cuéllar","Species23","Pinus pinea",,14.14,1.7248305,8.1935604,6.0867297,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-73-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-73","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
