treeId,order,ifn,plotId,province,municipality,latWGS84,lngWGS84,dbh1mm,dbh2mm,heightM,expan,speciesId,scientificName,dataCapture,treeifn3Id,treeIri,plotIri,speciesIri,treeifn3Iri
"40-102-1",1,"ifn2","40-102","Segovia","Chañe",41.361503,-4.376102,480,481,15,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-2",2,"ifn2","40-102","Segovia","Chañe",41.361553,-4.375997,441,472,13.5,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-2","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-3",3,"ifn2","40-102","Segovia","Chañe",41.36148,-4.375969,462,487,15.5,5.092958178940651,"Species26","Pinus pinaster",1991,"40-102-A-1-66-14.9","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-102-A-1-66-14.9"
"40-102-4",4,"ifn2","40-102","Segovia","Chañe",41.361438,-4.376023,246,259,11,14.14710605261292,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-4","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-5",5,"ifn2","40-102","Segovia","Chañe",41.361422,-4.37605,464,445,14,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-5","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-6",6,"ifn2","40-102","Segovia","Chañe",41.361418,-4.375917,428,442,13,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-6","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-7",7,"ifn2","40-102","Segovia","Chañe",41.361415,-4.375844,487,455,14,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-7","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-8",8,"ifn2","40-102","Segovia","Chañe",41.3614,-4.375935,485,448,14,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-8","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-9",9,"ifn2","40-102","Segovia","Chañe",41.361301,-4.375908,487,489,12,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-9","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-10",10,"ifn2","40-102","Segovia","Chañe",41.361384,-4.376083,565,650,12,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-10","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-11",11,"ifn2","40-102","Segovia","Chañe",41.361202,-4.376151,544,519,13,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-11","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-12",12,"ifn2","40-102","Segovia","Chañe",41.361296,-4.37619,370,355,9,14.14710605261292,"Species23","Pinus pinea",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-12","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23",
"40-102-13",13,"ifn2","40-102","Segovia","Chañe",41.361308,-4.376229,472,446,14,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-13","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-14",14,"ifn2","40-102","Segovia","Chañe",41.361395,-4.376161,174,176,7,31.83098861837907,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-14","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-15",15,"ifn2","40-102","Segovia","Chañe",41.361391,-4.376291,475,468,13,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-15","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-16",16,"ifn2","40-102","Segovia","Chañe",41.361407,-4.376368,626,648,13,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-16","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-17",17,"ifn2","40-102","Segovia","Chañe",41.361425,-4.376199,542,528,15,5.092958178940651,"Species26","Pinus pinaster",1991,"40-102-A-1-310-6.1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-17","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-102-A-1-310-6.1"
"40-102-18",18,"ifn2","40-102","Segovia","Chañe",41.361482,-4.376328,638,649,14,5.092958178940651,"Species26","Pinus pinaster",1991,"40-102-A-1-324-18.4","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-18","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-102-A-1-324-18.4"
"40-102-19",19,"ifn2","40-102","Segovia","Chañe",41.361587,-4.376236,637,534,14.5,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-19","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-20",20,"ifn2","40-102","Segovia","Chañe",41.361565,-4.376211,545,547,12.5,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-20","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-21",21,"ifn2","40-102","Segovia","Chañe",41.361551,-4.376168,594,623,16,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-21","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-22",22,"ifn2","40-102","Segovia","Chañe",41.361584,-4.376142,460,520,14.5,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-22","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-102-23",23,"ifn2","40-102","Segovia","Chañe",41.361482,-4.37613,585,642,13,5.092958178940651,"Species26","Pinus pinaster",1991,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-102-23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-102","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26",
"40-1150-1",1,"ifn2","40-1150","Segovia","Montejo de Arévalo",41.158953,-4.705565,272,271,8.5,14.14710605261292,"Species26","Pinus pinaster",1991,"40-1150-A-1-11-12.3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-11-12.3"
"40-1150-2",2,"ifn2","40-1150","Segovia","Montejo de Arévalo",41.158855,-4.705485,285,309,8.5,14.14710605261292,"Species26","Pinus pinaster",1991,"40-1150-A-1-90-9.0","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-2","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-90-9.0"
"40-1150-3",3,"ifn2","40-1150","Segovia","Montejo de Arévalo",41.15884,-4.705553,432,415,10,14.14710605261292,"Species23","Pinus pinea",1991,"40-1150-A-1-109-3.3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-109-3.3"
"40-1150-4",4,"ifn2","40-1150","Segovia","Montejo de Arévalo",41.158801,-4.70543,403,401,10,14.14710605261292,"Species26","Pinus pinaster",1991,"40-1150-A-1-122-14.4","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-4","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1150","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-122-14.4"
