treeId,order,ifn,plotId,province,municipality,latWGS84,lngWGS84,dbh1mm,dbh2mm,heightM,quality,expan,speciesId,scientificName,dataCapture,treeifn2Id,treeIri,plotIri,speciesIri,treeifn2Iri
"40-1148-A-3E-8-6.6",1,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158727,-4.717497,184,189,6.900000095367432,2,31.83098861837907,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-8-6.6","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1148-A-3E-37-24.1",2,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158851,-4.717352,493,466,12.5,3,5.092958178940651,"Species26","Pinus pinaster","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-37-24.1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26",
"40-1148-A-3E-55-9.7",3,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158726,-4.717419,277,289,8.800000190734863,2,14.14710605261292,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-55-9.7","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1148-A-3E-161-4.3",4,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158636,-4.717475,298,303,9.100000381469727,2,14.14710605261292,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-161-4.3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1148-A-3E-174-11.3",5,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158575,-4.717449,392,401,9.699999809265137,2,14.14710605261292,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-174-11.3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1148-A-3E-233-5.1",6,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158627,-4.717534,339,337,9,2,14.14710605261292,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-233-5.1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1148-A-3E-302-7.5",7,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158668,-4.717595,130,132,5.099999904632568,2,31.83098861837907,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-302-7.5","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1148-A-3E-363-11.6",8,"ifn3","40-1148-A-3E","Segovia","Montejo de Arévalo",41.158754,-4.717583,373,394,10.5,2,14.14710605261292,"Species23","Pinus pinea","11/17/2003",,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1148-A-3E-363-11.6","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1148-A-3E","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23",
"40-1150-A-1-11-12.3",1,"ifn3","40-1150-A-1","Segovia","Montejo de Arévalo",41.158954,-4.705569,325,323,10.5,3,14.14710605261292,"Species26","Pinus pinaster","11/18/2003","40-1150-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-11-12.3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1150-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-1"
"40-1150-A-1-90-9.0",2,"ifn3","40-1150-A-1","Segovia","Montejo de Arévalo",41.158859,-4.705486,300,316,9.5,3,14.14710605261292,"Species26","Pinus pinaster","11/18/2003","40-1150-2","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-90-9.0","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1150-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-2"
"40-1150-A-1-109-3.3",3,"ifn3","40-1150-A-1","Segovia","Montejo de Arévalo",41.158841,-4.705552,469,445,10.699999809265137,2,5.092958178940651,"Species23","Pinus pinea","11/18/2003","40-1150-3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/tree/tree-40-1150-A-1-109-3.3","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-40-1150-A-1","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn3/taxon/Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/tree/tree-40-1150-3"
